,Year,Country,Gini,lnGDPPC,lnGDPPCp5,n,OPS,TWWI,PR
53,1997,Albania,47.3,8.16819884743781,8.632121008145047,-0.625430097,-1.7161836772823536e-08,16499.521654448126,4
54,1998,Albania,47.4,8.26188103428379,8.700288648671965,-0.629334393,-8.276951593406141e-08,17074.75387191747,4
55,1999,Albania,47.6,8.396615840294283,8.767153209564361,-0.633352274,5.608030246267078e-08,19275.091284909977,4
56,2000,Albania,47.7,8.478136221656275,8.833239226359172,-0.637356834,7.251958621589283e-08,22660.886408457864,4
57,2001,Albania,47.9,8.572780980248005,8.902092274514322,-0.938470428,-2.6695661027431378e-08,24038.731676761163,3
58,2002,Albania,48.0,8.632121008145047,8.970325001099969,-0.299876697,6.334464542095728e-09,25397.067328609523,3
59,2003,Albania,48.2,8.700288648671965,9.050421565110257,-0.374149169,1.630200289276293e-08,28729.21334346428,3
60,2004,Albania,48.4,8.767153209564361,9.089242402994476,-0.417931378,2.6541273192806527e-08,32580.14687692084,3
61,2005,Albania,48.5,8.833239226359172,9.129452694082502,-0.511790116,3.48675530029892e-08,36822.67403461055,3
62,2006,Albania,48.7,8.902092274514322,9.157361447185297,-0.630911245,3.022940668799894e-08,42888.15502530914,3
63,2007,Albania,48.9,8.970325001099969,9.16868469670735,-0.755718755,3.315589950705172e-08,50501.35588367195,3
64,2008,Albania,49.0,9.050421565110257,9.175748927206564,-0.767342959,9.535432445423556e-08,60703.45816526981,3
65,2009,Albania,49.2,9.089242402994476,9.190953658175992,-0.673894046,-2.038275213694964e-07,68175.01295005325,3
66,2010,Albania,49.3,9.129452694082502,9.213535262872702,-0.496461963,1.2692291945455655e-07,77517.09136154765,3
67,2011,Albania,49.4,9.157361447185297,9.243968552956167,-0.269017332,1.8903728815438214e-07,91211.6306606043,3
68,2012,Albania,49.6,9.16868469670735,9.27819714100974,-0.16515104,1.1024695290808003e-08,100500.44145866332,3
69,2013,Albania,49.7,9.175748927206564,9.315075677230709,-0.183211385,-2.4007467341435098e-08,107795.35836161436,3
135,2004,Algeria,37.3,9.125032365245552,9.38488354711008,1.407273215,1.077883845992451e-07,106523.56773139996,6
136,2005,Algeria,37.1,9.207298008678737,9.44047894498148,1.364081963,1.3493770786425123e-07,122133.96477558718,6
137,2006,Algeria,37.0,9.248192755162092,9.488275092973083,1.441137296,6.818098157488484e-08,132153.95690047732,6
138,2007,Algeria,36.9,9.303351757029885,9.50144159247362,1.627908677,4.131713613996207e-08,149408.0508699769,6
139,2008,Algeria,36.7,9.347926244079051,9.510000421187371,1.708971675,9.528620211824943e-08,170022.31339309554,6
140,2009,Algeria,36.6,9.38488354711008,9.528357644224037,1.795903932,-1.244734715797653e-07,191538.56474269036,6
141,2010,Algeria,36.5,9.44047894498148,9.547098282074556,1.858701991,6.400209943836797e-08,194882.31552491675,6
142,2011,Algeria,36.3,9.488275092973083,9.570180302058072,1.898394281,8.207241417726163e-08,199233.27603300125,6
229,1972,Argentina,38.2,9.406729185981574,9.490695669041504,1.594814785,1.435875432758043e-10,3168.767332171504,6
230,1973,Argentina,38.3,9.448648359810164,9.428993858017527,1.643261692,7.375120273388733e-10,3513.9771815311806,2
231,1974,Argentina,38.3,9.494315582496638,9.481435640823564,1.700707098,1.7335397224460026e-09,4207.399990503727,2
232,1975,Argentina,38.7,9.468542139105455,9.47883962501119,1.659273963,-6.105525255398894e-11,4767.823244119832,2
233,1976,Argentina,39.0,9.449042262206245,9.403024715805683,1.58995977,1.2038219015142302e-10,5050.127743024943,6
234,1977,Argentina,39.5,9.490695669041504,9.35444071594994,1.598112286,8.198611878955389e-11,5705.572179918673,6
235,1978,Argentina,39.9,9.428993858017527,9.373733918884618,1.605462611,2.6583070998972386e-11,6781.893825209886,6
236,1979,Argentina,40.3,9.481435640823564,9.378985497953893,1.600658911,1.2581040273173765e-09,8027.485046923483,6
237,1980,Argentina,40.8,9.47883962501119,9.29605924737872,1.584918714,3.2973559935177085e-10,9574.147208712138,6
247,1990,Argentina,45.2,9.235423152343646,9.479301024666205,1.456402515,2.6391314342800477e-09,16010.02630398344,1
248,1991,Argentina,45.5,9.325808249721485,9.526261939873692,1.424063156,-1.7085021263578144e-09,18329.58692561472,1
249,1992,Argentina,45.7,9.41467482404173,9.59714212477132,1.387434642,-1.1872795040787325e-10,20676.56675271799,2
250,1993,Argentina,46.1,9.467057544669478,9.628126510159314,1.357965791,-1.912077285366979e-09,22981.293081742228,2
251,1994,Argentina,46.5,9.515718398362907,9.587257318240376,1.347023786,-9.239280143977402e-10,25040.61275678261,2
252,1995,Argentina,47.0,9.479301024666205,9.572824399469846,1.317554245,1.662793338735402e-09,27199.125839536144,2
253,1996,Argentina,47.5,9.526261939873692,9.521639918288155,1.260410588,3.9384046866016405e-09,29941.68358669605,2
254,1997,Argentina,47.9,9.59714212477132,9.40052863824595,1.198264474,-1.6563743196173299e-09,34562.36050315547,2
255,1998,Argentina,48.3,9.628126510159314,9.479494227226164,1.158177636,-9.792632745241076e-09,40079.96048561776,3
256,1999,Argentina,48.6,9.587257318240376,9.559815214281967,1.152043854,7.610356688126533e-09,45207.82076692657,2
257,2000,Argentina,48.9,9.572824399469846,9.638490035600524,1.133277022,1.0002528977095186e-08,49799.51171702445,1
258,2001,Argentina,49.0,9.521639918288155,9.710538135577849,1.09917146,-4.229563551627001e-09,53034.00542246874,3
259,2002,Argentina,48.9,9.40052863824595,9.79210580112274,1.07353835,1.316022462431341e-09,55844.58081947664,3
260,2003,Argentina,48.4,9.479494227226164,9.826622928151755,1.032360859,4.022380228046687e-09,58955.73944714069,2
261,2004,Argentina,47.7,9.559815214281967,9.760135281136298,1.015336684,7.930479102562069e-09,67881.97777059194,2
262,2005,Argentina,46.9,9.638490035600524,9.8511406348614,1.033476224,1.1223588468467284e-08,79446.71311954227,2
263,2006,Argentina,46.1,9.710538135577849,9.903637541287253,1.034671736,5.984316575052996e-09,92750.37772146345,2
