Entity,Code,Year,Top marginal income tax rate (WIR (2018))
France,FRA,1900,0
France,FRA,1901,0
France,FRA,1902,0
France,FRA,1903,0
France,FRA,1904,0
France,FRA,1905,0
France,FRA,1906,0
France,FRA,1907,0
France,FRA,1908,0
France,FRA,1909,0
France,FRA,1910,0
France,FRA,1911,0
France,FRA,1912,0
France,FRA,1913,0
France,FRA,1914,0
France,FRA,1915,2
France,FRA,1916,10
France,FRA,1917,20
France,FRA,1918,20
France,FRA,1919,50
France,FRA,1920,50
France,FRA,1921,50
France,FRA,1922,50
France,FRA,1923,60
France,FRA,1924,72
France,FRA,1925,60
France,FRA,1926,30
France,FRA,1927,30
France,FRA,1928,33
France,FRA,1929,33
France,FRA,1930,33
France,FRA,1931,33
France,FRA,1932,37
France,FRA,1933,37
France,FRA,1934,30
France,FRA,1935,36
France,FRA,1936,48
France,FRA,1937,52
France,FRA,1938,53
France,FRA,1939,53
France,FRA,1940,53
France,FRA,1941,60
France,FRA,1942,70
France,FRA,1943,70
France,FRA,1944,70
France,FRA,1945,60
France,FRA,1946,60
France,FRA,1947,72
France,FRA,1948,60
France,FRA,1949,60
France,FRA,1950,60
France,FRA,1951,60
France,FRA,1952,60
France,FRA,1953,60
France,FRA,1954,60
France,FRA,1955,66
France,FRA,1956,66
France,FRA,1957,66
France,FRA,1958,66
France,FRA,1959,66
France,FRA,1960,66
France,FRA,1961,63
France,FRA,1962,63
France,FRA,1963,65
France,FRA,1964,63
France,FRA,1965,63
France,FRA,1966,65
France,FRA,1967,66
France,FRA,1968,66
France,FRA,1969,65
France,FRA,1970,62
France,FRA,1971,61
France,FRA,1972,60
France,FRA,1973,60
France,FRA,1974,60
France,FRA,1975,60
France,FRA,1976,60
France,FRA,1977,60
France,FRA,1978,60
France,FRA,1979,60
France,FRA,1980,66
France,FRA,1981,66
France,FRA,1982,70
France,FRA,1983,70
France,FRA,1984,67
France,FRA,1985,65
France,FRA,1986,58
France,FRA,1987,57
France,FRA,1988,57
France,FRA,1989,57
France,FRA,1990,57
France,FRA,1991,58
France,FRA,1992,58
France,FRA,1993,59
France,FRA,1994,59
France,FRA,1995,59
France,FRA,1996,58
France,FRA,1997,58
France,FRA,1998,62
France,FRA,1999,62
France,FRA,2000,61
France,FRA,2001,61
France,FRA,2002,58
France,FRA,2003,56
France,FRA,2004,56
France,FRA,2005,56
France,FRA,2006,48
France,FRA,2007,48
France,FRA,2008,48
France,FRA,2009,48
France,FRA,2010,49
France,FRA,2011,49
France,FRA,2012,53
France,FRA,2013,53
France,FRA,2014,53
France,FRA,2015,53
France,FRA,2016,53
France,FRA,2017,53
Germany,DEU,1900,3
Germany,DEU,1901,3
Germany,DEU,1902,3
Germany,DEU,1903,3
Germany,DEU,1904,3
Germany,DEU,1905,3
Germany,DEU,1906,3
Germany,DEU,1907,3
Germany,DEU,1908,3
Germany,DEU,1909,3
Germany,DEU,1910,3
Germany,DEU,1911,3
Germany,DEU,1912,3
Germany,DEU,1913,3
Germany,DEU,1914,4
Germany,DEU,1915,4
Germany,DEU,1916,4
Germany,DEU,1917,4
Germany,DEU,1918,20
Germany,DEU,1919,30
Germany,DEU,1920,40
Germany,DEU,1921,40
Germany,DEU,1922,40
Germany,DEU,1923,40
Germany,DEU,1924,40
Germany,DEU,1925,40
Germany,DEU,1926,40
Germany,DEU,1927,40
Germany,DEU,1928,40
Germany,DEU,1929,40
Germany,DEU,1930,40
Germany,DEU,1931,40
Germany,DEU,1932,40
Germany,DEU,1933,40
Germany,DEU,1934,50
Germany,DEU,1935,50
Germany,DEU,1936,50
Germany,DEU,1937,50
Germany,DEU,1938,50
Germany,DEU,1939,60
Germany,DEU,1940,60
Germany,DEU,1941,60
Germany,DEU,1942,60
Germany,DEU,1943,60
Germany,DEU,1944,60
Germany,DEU,1945,60
Germany,DEU,1946,90
Germany,DEU,1947,90
Germany,DEU,1948,90
Germany,DEU,1949,75
Germany,DEU,1950,75
Germany,DEU,1951,75
Germany,DEU,1952,75
Germany,DEU,1953,66
Germany,DEU,1954,60
Germany,DEU,1955,53
Germany,DEU,1956,53
Germany,DEU,1957,53
Germany,DEU,1958,53
Germany,DEU,1959,53
Germany,DEU,1960,53
Germany,DEU,1961,53
Germany,DEU,1962,53
Germany,DEU,1963,53
Germany,DEU,1964,53
Germany,DEU,1965,53
Germany,DEU,1966,53
Germany,DEU,1967,53
Germany,DEU,1968,53
Germany,DEU,1969,53
Germany,DEU,1970,53
Germany,DEU,1971,53
Germany,DEU,1972,53
Germany,DEU,1973,53
Germany,DEU,1974,53
Germany,DEU,1975,56
Germany,DEU,1976,56
Germany,DEU,1977,56
Germany,DEU,1978,56
Germany,DEU,1979,56
Germany,DEU,1980,56
Germany,DEU,1981,56
Germany,DEU,1982,56
Germany,DEU,1983,56
Germany,DEU,1984,56
Germany,DEU,1985,56
Germany,DEU,1986,56
Germany,DEU,1987,56
Germany,DEU,1988,56
Germany,DEU,1989,56
Germany,DEU,1990,53
Germany,DEU,1991,53
Germany,DEU,1992,53
Germany,DEU,1993,53
Germany,DEU,1994,53
Germany,DEU,1995,53
Germany,DEU,1996,53
Germany,DEU,1997,53
Germany,DEU,1998,53
Germany,DEU,1999,53
Germany,DEU,2000,51
Germany,DEU,2001,49
Germany,DEU,2002,49
Germany,DEU,2003,49
Germany,DEU,2004,45
Germany,DEU,2005,42
Germany,DEU,2006,42
Germany,DEU,2007,45
Germany,DEU,2008,45
Germany,DEU,2009,45
Germany,DEU,2010,45
Germany,DEU,2011,45
Germany,DEU,2012,45
Germany,DEU,2013,45
Germany,DEU,2014,45
Germany,DEU,2015,45
Germany,DEU,2016,45
Germany,DEU,2017,45
Japan,JPN,1900,6
Japan,JPN,1901,6
Japan,JPN,1902,6
Japan,JPN,1903,9
Japan,JPN,1904,20
Japan,JPN,1905,20
Japan,JPN,1906,20
Japan,JPN,1907,20
Japan,JPN,1908,20
Japan,JPN,1909,20
Japan,JPN,1910,20
Japan,JPN,1911,20
Japan,JPN,1912,22
Japan,JPN,1913,22
Japan,JPN,1914,22
Japan,JPN,1915,22
Japan,JPN,1916,22
Japan,JPN,1917,30
Japan,JPN,1918,30
Japan,JPN,1919,36
Japan,JPN,1920,36
Japan,JPN,1921,36
Japan,JPN,1922,36
Japan,JPN,1923,36
Japan,JPN,1924,36
Japan,JPN,1925,36
Japan,JPN,1926,36
Japan,JPN,1927,36
Japan,JPN,1928,36
Japan,JPN,1929,36
Japan,JPN,1930,36
Japan,JPN,1931,36
Japan,JPN,1932,36
Japan,JPN,1933,36
Japan,JPN,1934,36
Japan,JPN,1935,36
Japan,JPN,1936,66
Japan,JPN,1937,55
Japan,JPN,1938,55
Japan,JPN,1939,65
Japan,JPN,1940,65
Japan,JPN,1941,72
Japan,JPN,1942,72
Japan,JPN,1943,74
Japan,JPN,1944,74
Japan,JPN,1945,67
Japan,JPN,1946,67
Japan,JPN,1947,75
Japan,JPN,1948,85
Japan,JPN,1949,85
Japan,JPN,1950,55
Japan,JPN,1951,55
Japan,JPN,1952,55
Japan,JPN,1953,65
Japan,JPN,1954,65
Japan,JPN,1955,65
Japan,JPN,1956,65
Japan,JPN,1957,70
Japan,JPN,1958,70
Japan,JPN,1959,70
Japan,JPN,1960,70
Japan,JPN,1961,70
Japan,JPN,1962,75
Japan,JPN,1963,75
Japan,JPN,1964,75
Japan,JPN,1965,75
Japan,JPN,1966,75
Japan,JPN,1967,75
Japan,JPN,1968,75
Japan,JPN,1969,75
Japan,JPN,1970,75
Japan,JPN,1971,75
Japan,JPN,1972,75
Japan,JPN,1973,75
Japan,JPN,1974,75
Japan,JPN,1975,75
Japan,JPN,1976,75
Japan,JPN,1977,75
Japan,JPN,1978,75
Japan,JPN,1979,75
Japan,JPN,1980,75
Japan,JPN,1981,75
Japan,JPN,1982,75
Japan,JPN,1983,75
Japan,JPN,1984,70
Japan,JPN,1985,70
Japan,JPN,1986,70
Japan,JPN,1987,60
Japan,JPN,1988,60
Japan,JPN,1989,60
Japan,JPN,1990,50
Japan,JPN,1991,50
Japan,JPN,1992,50
Japan,JPN,1993,50
Japan,JPN,1994,50
Japan,JPN,1995,50
Japan,JPN,1996,50
Japan,JPN,1997,50
Japan,JPN,1998,50
Japan,JPN,1999,37
Japan,JPN,2000,37
Japan,JPN,2001,37
Japan,JPN,2002,37
Japan,JPN,2003,37
Japan,JPN,2004,37
Japan,JPN,2005,37
Japan,JPN,2006,50
Japan,JPN,2007,50
Japan,JPN,2008,50
Japan,JPN,2009,50
Japan,JPN,2010,50
Japan,JPN,2011,50
Japan,JPN,2012,50
Japan,JPN,2013,51
Japan,JPN,2014,56
Japan,JPN,2015,56
Japan,JPN,2016,56
Japan,JPN,2017,56
United Kingdom,GBR,1900,0
United Kingdom,GBR,1901,0
United Kingdom,GBR,1902,0
